作品名稱,藝術家,,媒材,作品尺寸(高),作品尺寸(寬),作品售價NTD
變成一棵樹,劉瑞芸,JY0012023002000,油畫棒、紙,,,4935
爸爸的日常,劉瑞芸,JY0012023012000,油畫棒、紙,,,4830
公園裡的星期天 晚上,劉瑞芸,JY0012022011000,蠟筆、紙,,,4620
Bubble Fantasy,謝佳淇,CS0022024011000,油彩、畫布,,,6930
心地皇后,謝佳淇,CS0022023009000,油彩、麻布,,,3150
低頭的勇士,黃顯雅,HYH032023006000,鉛筆、複合媒材 、色鉛筆、道林紙,,,3255
命中註定的客人,黃顯雅,HYH032023005000,複合媒材 、色鉛筆、道林紙,,,3255
小獸01,黃顯雅,HYH032021002000,水彩、水彩紙,,,2100
小獸02,黃顯雅,HYH032021001000,水彩、蠟筆、水彩紙,,,2100
登板,林宜蓁,YCL012022006000,壓克力彩、畫布,,,6563
雨的相遇,林宜蓁,YCL012023003000,壓克力彩、畫布,,,7088
洞穴的房子,林宜蓁,YCL012023002000,壓克力彩、木板,,,6379
沒事就好,劉昕宜,SYL012023024000,色鉛筆、無酸紙,,,5460
一起尋找綠洲,劉昕宜,SYL012023022000,色鉛筆、無酸紙,,,5460
花的告白,劉昕宜,SYL012023017000,壓克力彩、畫布,,,6825
輕柔的增生,劉昕宜,SYL012023016000,壓克力彩、畫布,,,4725
藍色的山,許佳琪,CCH012023015000,油彩、壓克力彩、畫布,,,6300
透明彩虹,許佳琪,CCH012021014000,壓克力彩、畫布,,,7875
Susan,童于洋,FT0012023002000,壓克力彩、畫布,,,5250
漫步雲端,童于洋,FT0012023001000,壓克力彩、畫布,,,5250
夏天沒有冷氣的時候 04泳池,蔡詠欣,X00012016007009,油印木刻版、版畫紙,,,4410
夏天沒有冷氣的時候 07怪談,蔡詠欣,X00012017006005,油印木刻版、版畫紙,,,4410
白色車子,游心妤,HYY012023013000,壓克力彩、水性粉彩、畫布板,,,5250
田的圓環,張育瑄,YXZ012022016000,油彩、畫布,,,5355
濱海的路,張育瑄,YXZ012022014000,油彩、畫布,,,7140
沒有烏龜許願池,張育瑄,YXZ012022010000,油彩、畫布,,,5355
台北邊角,涂恩華,EHT012023011001,電腦繪圖、紙,,,4725
台北邊角,涂恩華,EHT012023003001,電腦繪圖、紙,,,4725
台北邊角,涂恩華,EHT012023005001,電腦繪圖、紙,,,4725
台北邊角,涂恩華,EHT012023001001,電腦繪圖、紙,,,4725
啟程(夏季),王貽宣,YHW012017014000,鉛筆、壓克力彩、紙,,,10500
啟程(冬季),王貽宣,YHW012020013000,壓克力彩、鉛筆、紙,,,10500
創作,王貽宣,YHW012020012000,壓克力彩、鉛筆、紙板,,,10500
晚安,王貽宣,YHW012018008000,鉛筆、壓克力彩、紙板,,,10500
啾飛,林儒鐸,RL0012022011000,壓克力彩、畫布,,,21000
波弟與灰兔,林儒鐸,RL0012012010000,壓克力彩、畫布,,,31500
波布與兔兔,林儒鐸,RL0012012009000,壓克力彩、畫布,,,31500
兔兔日安,林儒鐸,RL0012016007000,壓克力彩、畫布,,,18900
寫生六,王翔,SW0012022006000,水墨、圖畫紙,,,13629
尋根,張亞蓁,YCC012021005000,水墨、紙,,,6825
紅牆前的花器,李宜亞,YYL012021003000,油性粉彩、紙,,,10500
